x,y,t
112,121,0
113,118,0.054
112,115,0.267
108,113,0.358
105,113,0.446
101,115,0.533
95,118,0.672
92,122,0.702
92,125,0.734
92,130,0.815
92,134,0.894
94,138,0.999
96,142,1.079
98,147,1.158
102,149,1.279
106,150,1.407
110,151,1.512
113,152,1.591
117,152,1.664
123,150,1.874
127,147,1.912
130,146,1.952
134,143,2.04
137,139,2.152
140,135,2.273
141,132,2.312
143,128,2.405
144,125,2.44
145,121,2.531
145,116,2.586
144,112,2.682
144,108,2.754
143,105,2.81
143,102,2.834
141,98,2.931
138,91,3.071
136,88,3.09
132,85,3.203
128,82,3.298
124,79,3.379
121,78,3.419
117,76,3.499
110,75,3.601
105,75,3.626
101,76,3.671
97,77,3.739
92,77,3.857
88,79,3.875
85,80,3.899
82,82,3.923
76,84,3.99
72,89,4.042
69,91,4.126
65,94,4.172
61,100,4.285
60,103,4.294
58,107,4.355
57,112,4.417
56,115,4.443
56,123,4.548
56,127,4.594
57,131,4.686
58,136,4.715
59,140,4.815
61,144,4.858
62,148,4.906
62,151,4.955
63,156,5.027
66,161,5.108
67,164,5.148
70,168,5.202
74,172,5.276
78,174,5.343
82,178,5.489
87,181,5.498
91,184,5.588
95,186,5.676
99,187,5.759
103,187,5.813
106,187,5.844
110,188,5.9
115,188,5.947
119,189,6.019
123,188,6.051
126,188,6.076
130,187,6.145
134,186,6.196
137,185,6.228
141,184,6.325
145,181,6.372
149,179,6.453
152,177,6.485
156,173,6.583
161,169,6.685
164,167,6.706
167,163,6.74
169,160,6.773
172,156,6.845
175,151,6.948
178,147,6.997
180,142,7.102
181,139,7.11
183,136,7.133
185,131,7.238
185,126,7.277
185,121,7.362
185,117,7.412
185,114,7.453
184,110,7.525
183,105,7.58
182,101,7.645
181,97,7.709
181,93,7.757
181,90,7.781
178,84,7.949
177,81,7.965
174,78,8.072
169,72,8.206
165,68,8.268
161,64,8.34
158,62,8.389
154,59,8.461
152,56,8.486
147,53,8.592
143,50,8.661
139,49,8.75
134,47,8.851
130,46,8.885
126,45,8.933
122,45,8.989
119,44,9.022
115,44,9.123
108,42,9.262
104,41,9.28
100,41,9.327
97,40,9.351
93,41,9.415
89,41,9.487
85,43,9.585
81,44,9.665
78,45,9.697
72,47,9.789
70,50,9.809
66,52,9.92
63,53,9.929
59,57,9.976
55,60,10.073
52,62,10.097
48,65,10.193
43,69,10.241
39,72,10.326
37,75,10.338
34,77,10.372
29,84,10.489
28,87,10.505
25,92,10.56
23,96,10.649
23,99,10.691
22,104,10.785
21,108,10.867
20,113,10.914
20,117,10.999
20,122,11.049
20,127,11.132
21,131,11.17
21,135,11.265
22,138,11.282
22,143,11.354
23,147,11.437
24,151,11.519
24,154,11.576
25,159,11.69
26,162,11.722
27,166,11.811
28,171,11.857
32,182,12.026
36,187,12.034
40,191,12.107
44,193,12.17
48,196,12.219
52,199,12.282
56,202,12.323
61,205,12.419
65,209,12.498
69,212,12.587
72,214,12.62
76,216,12.699
80,219,12.805
84,220,12.973
87,222,12.995
91,223,13.088
95,224,13.139
99,225,13.222
103,226,13.353
108,226,13.426
112,226,13.539
116,227,13.627
120,226,13.701
124,225,13.779
129,224,13.826
133,223,13.879
138,222,13.93
142,219,14.005
147,217,14.058
152,213,14.14
156,212,14.184
162,208,14.285
166,206,14.347
171,204,14.434
175,201,14.483
180,198,14.547
184,195,14.594
188,192,14.678
192,188,14.724
195,184,14.813
199,180,14.836
203,175,14.938
205,171,14.95
208,167,15.003
210,162,15.076
212,158,15.147
214,153,15.206
215,150,15.236
217,146,15.329
218,141,15.364
219,137,15.419
220,128,15.531
219,124,15.548
219,121,15.564
220,117,15.595
219,112,15.657
219,107,15.699
219,104,15.724
218,100,15.788
218,95,15.836
216,91,15.917
215,87,15.94
214,83,15.988
213,80,16.043
211,75,16.087
210,71,16.189
208,67,16.243
205,63,16.324
203,58,16.439
199,54,16.511
198,51,16.566
194,47,16.603
188,41,16.761
185,39,16.771
181,35,16.827
176,34,16.886
172,31,16.963
169,27,17.165
165,24,17.3
161,21,17.452
154,17,17.557
