x,y,t
113,119,0
114,116,0.117
112,112,0.146
108,110,0.25
105,110,0.314
101,113,0.395
99,117,0.465
97,121,0.54
96,124,0.594
95,127,0.647
96,131,0.717
97,134,0.773
98,138,0.834
102,142,0.946
106,145,1.05
110,146,1.167
116,146,1.323
121,145,1.338
125,144,1.402
129,142,1.466
132,140,1.507
136,137,1.586
139,135,1.611
143,130,1.722
145,126,1.763
146,123,1.803
147,119,1.859
147,116,1.891
147,112,1.976
146,109,1.981
144,104,2.051
142,100,2.107
139,96,2.156
138,93,2.18
133,89,2.247
129,86,2.299
125,84,2.373
116,80,2.529
112,80,2.556
108,79,2.62
104,79,2.668
101,79,2.692
97,80,2.726
92,81,2.794
88,81,2.836
84,83,2.948
80,87,3.019
76,90,3.084
73,94,3.131
69,97,3.212
65,101,3.276
63,104,3.315
62,108,3.348
60,111,3.388
59,116,3.446
58,121,3.484
56,125,3.581
56,128,3.59
56,132,3.631
57,138,3.736
59,143,3.757
60,147,3.772
61,150,3.804
63,154,3.871
66,158,3.932
67,161,3.964
71,164,4.051
74,169,4.134
76,172,4.148
79,176,4.257
83,180,4.291
86,181,4.324
90,182,4.389
95,184,4.436
98,183,4.461
102,184,4.52
105,184,4.533
109,185,4.573
113,186,4.612
116,186,4.653
120,187,4.692
127,187,4.78
130,187,4.797
134,185,4.839
145,177,4.984
149,174,5.014
153,172,5.061
156,170,5.108
160,168,5.241
165,165,5.285
169,161,5.364
172,157,5.368
173,154,5.382
176,149,5.422
177,144,5.497
177,139,5.534
179,134,5.582
179,130,5.629
180,127,5.646
180,123,5.694
181,118,5.767
181,115,5.774
181,112,5.79
181,107,5.83
181,103,5.895
180,100,5.91
179,95,5.973
178,91,6.025
177,87,6.069
177,84,6.102
175,79,6.163
171,72,6.315
167,68,6.342
162,65,6.399
158,62,6.447
153,60,6.487
149,58,6.535
145,55,6.585
142,54,6.607
138,51,6.654
134,48,6.71
131,47,6.743
127,45,6.799
123,43,6.848
119,42,6.894
112,42,6.976
108,42,7.022
103,42,7.103
99,42,7.127
95,41,7.175
91,42,7.233
86,42,7.28
79,44,7.365
76,45,7.387
67,49,7.521
63,52,7.545
59,54,7.592
56,56,7.617
52,59,7.662
47,64,7.696
44,66,7.721
40,70,7.788
36,74,7.833
31,81,7.951
28,86,7.984
25,91,8.033
23,96,8.081
22,101,8.137
20,109,8.21
20,112,8.241
19,117,8.28
17,122,8.342
16,125,8.369
15,128,8.385
14,132,8.432
15,136,8.489
15,139,8.505
15,142,8.529
17,146,8.61
18,149,8.618
21,153,8.687
25,158,8.759
30,165,8.842
32,168,8.851
35,173,8.897
38,178,8.954
40,182,9.017
42,186,9.05
43,189,9.074
45,193,9.157
47,197,9.225
50,201,9.306
54,205,9.415
58,206,9.457
63,207,9.505
67,207,9.547
72,206,9.569
75,207,9.586
80,208,9.626
84,210,9.697
88,212,9.762
83,209,9.866
78,207,9.897
76,212,10.089
80,216,10.099
85,218,10.146
91,219,10.223
95,219,10.242
98,219,10.259
102,219,10.29
106,220,10.355
109,220,10.357
114,220,10.403
120,220,10.49
125,220,10.53
129,220,10.579
132,220,10.622
136,220,10.65
141,219,10.707
145,217,10.763
149,215,10.811
152,214,10.835
157,212,10.883
161,210,10.93
166,208,11.011
171,207,11.035
175,204,11.082
178,203,11.107
183,198,11.158
189,193,11.293
193,189,11.347
194,186,11.379
196,183,11.428
199,178,11.46
202,174,11.507
205,169,11.561
208,165,11.619
210,161,11.687
211,158,11.708
213,154,11.757
215,147,11.82
217,143,11.869
218,136,11.95
219,132,11.973
219,129,11.997
219,126,12.021
219,121,12.085
219,117,12.117
219,114,12.141
219,107,12.218
219,103,12.268
219,100,12.293
218,95,12.344
217,90,12.4
212,78,12.543
210,74,12.566
209,71,12.598
206,66,12.665
205,63,12.678
202,59,12.733
199,54,12.799
195,50,12.846
191,46,12.962
187,41,13.014
184,37,13.086
180,33,13.188
177,31,13.214
174,26,13.321
170,23,13.381
168,20,13.455
164,17,13.542
