x,y,t
166,24,0
158,27,0.558
162,27,0.683
166,26,0.82
168,29,0.863
172,32,0.939
176,35,1.109
180,38,1.278
183,40,1.292
186,43,1.341
188,47,1.469
189,50,1.502
192,52,1.526
194,56,1.573
197,60,1.688
199,63,1.702
201,67,1.725
204,70,1.758
207,74,1.846
209,79,1.91
212,83,1.982
213,86,1.999
213,90,2.046
213,93,2.079
214,97,2.167
215,101,2.215
214,104,2.231
213,109,2.27
213,114,2.336
214,120,2.412
214,123,2.436
214,128,2.47
214,133,2.494
213,138,2.551
213,141,2.567
212,144,2.575
210,148,2.655
207,152,2.799
204,157,2.895
203,160,2.912
201,164,2.936
200,168,2.945
197,172,3.04
195,176,3.144
194,179,3.153
193,182,3.168
195,186,3.312
190,190,3.4
184,192,3.475
177,195,3.56
175,198,3.574
171,201,3.608
169,206,3.64
166,209,3.658
163,212,3.673
159,215,3.689
156,218,3.769
151,221,3.914
147,222,3.945
143,220,4.017
139,217,4.171
136,218,4.187
133,220,4.203
129,221,4.292
126,221,4.316
122,220,4.605
116,220,4.679
112,219,4.885
110,222,4.91
106,226,4.941
104,230,5.038
101,226,5.343
105,222,5.478
102,220,5.671
95,215,5.822
92,215,6.137
90,211,6.184
91,208,6.209
89,204,6.28
90,207,6.377
89,212,6.426
90,216,6.465
88,220,6.594
84,218,6.77
81,218,6.795
77,217,6.87
74,214,6.944
72,211,7.011
67,208,7.548
64,206,7.684
62,201,7.731
58,202,7.827
54,198,8.141
50,197,8.285
46,196,8.677
42,191,8.716
40,187,8.78
36,184,8.901
34,180,9.134
32,176,9.219
31,172,9.318
27,169,9.462
22,168,9.574
21,171,9.653
24,175,9.839
25,171,10.127
25,167,10.346
25,164,10.359
25,161,10.375
22,156,10.471
21,152,10.51
21,148,10.703
22,142,10.934
21,137,10.982
19,132,11.049
19,128,11.251
22,124,11.326
23,119,11.561
24,116,11.592
25,112,11.66
25,108,11.881
26,105,11.905
28,101,11.944
27,97,12.048
27,94,12.066
28,90,12.128
28,87,12.161
29,83,12.192
31,78,12.233
34,74,12.273
38,70,12.352
43,68,12.393
48,66,12.457
52,63,12.513
57,60,12.597
62,56,12.618
65,54,12.642
70,52,12.698
75,51,12.745
80,53,12.777
84,53,12.818
89,53,12.865
93,53,12.906
96,52,12.954
99,49,13.004
104,45,13.033
106,42,13.05
108,38,13.114
110,41,13.162
115,46,13.202
118,49,13.218
122,52,13.257
126,55,13.314
130,56,13.338
133,57,13.354
136,58,13.37
140,59,13.386
143,59,13.403
147,60,13.45
151,62,13.49
154,67,13.539
157,68,13.563
161,73,13.613
164,77,13.717
169,80,13.771
171,85,13.835
173,89,13.851
174,92,13.867
176,97,13.914
177,104,13.939
178,109,13.955
179,112,13.963
179,116,14.027
179,120,14.09
178,123,14.115
178,126,14.131
177,129,14.147
176,134,14.178
174,137,14.195
173,141,14.219
173,145,14.235
174,148,14.251
173,151,14.283
171,157,14.322
169,161,14.363
167,164,14.387
166,167,14.403
163,172,14.426
159,173,14.483
156,174,14.5
152,177,14.58
149,177,14.604
146,178,14.628
142,180,14.675
137,179,14.715
134,178,14.732
128,178,14.793
120,181,14.878
116,183,14.9
113,183,14.94
109,184,14.98
106,185,15.028
102,185,15.077
99,185,15.1
96,185,15.124
91,186,15.164
87,186,15.195
84,185,15.212
81,185,15.228
78,184,15.244
74,184,15.279
71,179,15.315
71,176,15.332
70,171,15.363
69,168,15.381
69,165,15.397
67,161,15.444
66,158,15.469
63,154,15.516
63,149,15.548
62,144,15.583
60,141,15.605
60,138,15.645
60,135,15.661
61,132,15.677
61,128,15.693
62,124,15.716
64,120,15.733
66,116,15.749
67,113,15.758
69,109,15.78
71,103,15.82
74,98,15.837
76,95,15.853
79,92,15.869
81,89,15.885
84,87,15.901
88,86,15.962
100,83,16.05
105,82,16.069
109,82,16.117
112,83,16.133
116,85,16.166
121,89,16.214
122,92,16.23
125,97,16.271
129,101,16.302
132,105,16.359
133,108,16.391
134,111,16.4
136,115,16.45
136,118,16.479
136,124,16.502
135,129,16.543
133,133,16.575
132,137,16.599
129,138,16.615
128,142,16.631
123,145,16.687
120,145,16.703
117,145,16.719
113,145,16.735
109,146,16.751
106,146,16.767
102,141,16.798
98,134,16.822
96,131,16.839
94,125,16.866
96,118,16.894
99,115,16.911
103,114,16.926
107,114,16.942
110,117,16.959
111,121,16.975
110,125,16.984
108,132,16.993
104,135,17.015
105,131,17.075
104,128,17.09
108,130,17.131
