x,y,t
110,122,0
110,118,0.028
109,114,0.076
106,111,0.123
101,109,0.172
97,111,0.254
95,114,0.262
92,118,0.301
91,121,0.335
90,125,0.38
90,128,0.399
90,133,0.439
91,141,0.511
92,144,0.535
95,148,0.606
99,151,0.663
102,152,0.687
106,153,0.726
110,153,0.778
115,152,0.791
118,152,0.807
123,151,0.838
127,149,0.87
131,148,0.905
135,144,0.934
138,142,0.959
143,134,1.036
145,130,1.066
145,127,1.098
147,120,1.202
147,115,1.218
147,112,1.225
147,109,1.248
146,104,1.287
144,99,1.337
142,94,1.367
138,90,1.462
135,87,1.471
130,84,1.512
125,82,1.543
118,79,1.598
115,78,1.608
110,78,1.639
106,77,1.656
101,76,1.687
96,77,1.731
93,77,1.743
89,79,1.784
86,80,1.808
81,83,1.857
78,85,1.88
74,88,1.919
71,90,1.944
66,95,1.988
63,98,2.008
59,102,2.055
58,105,2.08
56,109,2.123
54,114,2.144
53,117,2.16
53,120,2.176
54,124,2.207
54,129,2.255
55,132,2.272
57,137,2.304
58,140,2.333
62,149,2.401
67,156,2.482
73,162,2.531
75,165,2.553
79,170,2.601
83,174,2.662
86,176,2.667
90,179,2.712
92,182,2.737
95,184,2.791
100,187,2.81
105,190,2.857
112,191,2.927
116,191,2.961
119,191,2.986
123,190,3.017
128,186,3.061
132,183,3.089
135,182,3.114
142,178,3.186
147,176,3.211
151,173,3.245
155,170,3.277
160,167,3.317
165,163,3.349
170,159,3.396
173,154,3.448
175,151,3.469
177,147,3.516
177,144,3.533
179,139,3.583
179,135,3.629
178,132,3.635
177,115,3.75
176,107,3.759
175,102,3.789
175,98,3.821
175,95,3.837
175,91,3.882
175,88,3.901
174,85,3.925
174,81,3.972
172,76,4.013
171,73,4.045
167,69,4.092
163,65,4.147
160,64,4.152
157,62,4.173
154,60,4.197
147,56,4.28
143,55,4.308
139,53,4.34
136,52,4.365
133,51,4.406
128,50,4.436
123,47,4.484
118,45,4.536
114,43,4.581
111,42,4.606
104,41,4.668
96,43,4.71
93,43,4.726
90,44,4.741
83,46,4.807
79,48,4.825
76,50,4.859
68,53,4.972
62,56,4.983
57,57,5.006
53,59,5.04
46,65,5.105
43,67,5.12
39,71,5.167
34,78,5.236
31,82,5.255
29,87,5.287
26,91,5.32
25,94,5.371
24,97,5.375
23,103,5.407
22,107,5.447
20,113,5.504
20,116,5.512
20,121,5.543
20,124,5.56
20,127,5.576
20,135,5.629
21,138,5.64
21,141,5.656
22,144,5.675
22,147,5.688
23,150,5.704
26,160,5.761
27,163,5.768
29,169,5.808
30,172,5.824
31,176,5.848
34,182,5.892
35,186,5.919
38,190,5.951
39,193,5.968
44,200,6.027
49,206,6.077
58,212,6.188
66,214,6.197
69,215,6.208
72,216,6.223
75,217,6.24
78,217,6.256
81,218,6.272
84,218,6.319
90,219,6.323
93,219,6.335
96,219,6.355
99,219,6.368
102,220,6.384
105,220,6.4
108,220,6.416
114,221,6.45
117,221,6.464
122,221,6.495
125,220,6.512
129,220,6.543
134,220,6.586
138,219,6.607
141,219,6.632
146,217,6.663
154,214,6.715
159,211,6.743
164,209,6.775
168,207,6.808
171,205,6.845
176,203,6.863
180,200,6.896
183,198,6.912
190,192,6.977
194,187,7.007
198,183,7.039
202,179,7.101
206,175,7.109
208,172,7.12
211,168,7.143
214,163,7.175
215,160,7.192
217,156,7.239
218,152,7.248
219,148,7.287
220,144,7.319
220,139,7.37
220,134,7.416
221,122,7.525
221,118,7.544
221,115,7.547
220,110,7.583
219,104,7.654
218,100,7.663
216,95,7.704
214,88,7.787
212,83,7.84
210,79,7.921
209,76,7.928
207,71,7.975
203,64,8.055
201,61,8.072
199,57,8.123
196,52,8.184
193,48,8.232
189,44,8.31
185,40,8.328
184,37,8.352
181,35,8.376
177,30,8.448
174,26,8.519
169,23,8.619
162,20,8.725
158,18,8.743
