x,y,t
103,115,0
100,116,0.025
99,119,0.041
97,123,0.105
96,126,0.137
96,131,0.172
95,135,0.185
95,138,0.201
95,142,0.217
98,145,0.241
101,147,0.257
102,150,0.274
103,153,0.297
106,157,0.328
110,157,0.345
115,157,0.368
120,156,0.44
123,155,0.457
126,151,0.505
126,148,0.529
128,145,0.537
132,141,0.552
139,130,0.612
135,129,0.628
131,127,0.651
131,124,0.676
132,119,0.708
127,114,0.739
128,109,0.771
123,102,0.839
120,100,0.852
116,98,0.871
94,94,1.03
88,98,1.041
77,105,1.117
76,112,1.148
73,116,1.163
70,120,1.179
70,124,1.204
72,130,1.231
73,136,1.26
73,141,1.276
73,145,1.292
74,148,1.301
75,152,1.31
80,156,1.324
85,160,1.342
87,164,1.357
89,167,1.373
92,171,1.412
96,172,1.429
99,174,1.441
102,175,1.453
106,176,1.46
113,178,1.469
125,171,1.552
128,171,1.561
148,153,1.669
152,126,1.788
147,94,1.938
148,91,1.961
144,89,1.993
141,87,2.001
138,86,2.011
135,85,2.019
131,80,2.032
109,67,2.129
105,68,2.138
100,67,2.148
96,66,2.164
93,64,2.21
86,67,2.222
61,71,2.313
53,78,2.331
47,85,2.343
38,92,2.353
35,96,2.363
32,99,2.371
29,104,2.401
30,107,2.414
30,111,2.426
30,114,2.435
30,117,2.444
30,120,2.453
30,123,2.463
30,127,2.473
29,130,2.482
30,134,2.49
32,143,2.498
33,146,2.507
35,149,2.521
40,153,2.531
44,157,2.546
47,161,2.562
49,164,2.57
54,169,2.585
57,171,2.594
61,174,2.603
65,175,2.612
69,178,2.626
76,182,2.636
79,184,2.645
83,187,2.658
87,191,2.674
90,193,2.69
94,194,2.698
98,194,2.708
104,193,2.716
109,192,2.726
120,192,2.741
124,192,2.751
127,193,2.76
131,193,2.77
136,194,2.786
139,193,2.81
145,189,2.826
150,186,2.839
155,183,2.85
160,179,2.889
165,177,2.903
170,161,2.921
171,156,2.944
173,150,2.953
176,146,2.963
179,143,2.973
182,139,2.982
185,136,2.992
186,133,2.999
186,127,3.015
180,124,3.031
177,122,3.044
172,117,3.063
159,100,3.14
155,100,3.153
149,96,3.164
147,92,3.18
148,89,3.196
150,86,3.212
149,83,3.236
145,81,3.256
142,81,3.265
137,80,3.276
133,81,3.299
98,129,3.485
94,142,3.495
92,146,3.507
89,151,3.516
81,161,3.526
78,165,3.536
75,169,3.546
73,172,3.556
76,178,3.573
80,181,3.584
83,186,3.596
85,190,3.619
85,195,3.635
86,200,3.651
89,201,3.662
92,202,3.671
100,202,3.686
105,201,3.695
109,200,3.705
113,200,3.714
116,200,3.724
121,202,3.74
124,204,3.764
127,204,3.773
130,204,3.789
133,203,3.797
141,202,3.806
144,201,3.815
147,200,3.825
151,198,3.844
157,193,3.885
160,191,3.894
164,189,3.906
169,187,3.916
173,185,3.925
177,183,3.933
183,180,3.942
185,177,3.957
184,172,3.982
186,167,4.005
189,165,4.014
192,163,4.023
192,155,4.142
