x,y,t
111,125,0
112,122,0.201
111,118,0.417
107,117,0.745
103,118,0.985
100,122,1.316
98,125,1.33
94,127,1.553
93,132,1.809
94,136,2.161
94,140,2.442
98,143,2.897
100,147,3.601
104,147,4.41
108,147,4.755
112,147,5.883
114,150,6.207
113,155,6.252
113,159,6.291
117,157,6.772
121,155,6.855
125,154,7.18
128,150,7.252
130,146,7.343
132,143,7.372
132,139,7.646
135,135,8.108
136,131,8.316
136,126,8.669
139,128,8.805
142,125,9.199
143,121,9.368
144,116,9.456
141,113,10.128
142,108,10.544
139,105,10.591
136,103,10.625
132,106,10.777
132,103,10.857
131,99,11.057
130,96,11.137
126,95,11.353
122,96,11.498
118,96,11.735
114,94,11.955
111,90,12.212
107,89,12.553
103,88,12.676
99,88,12.739
95,87,12.804
92,89,13.092
88,90,13.348
84,92,13.452
80,95,13.516
76,95,13.614
73,97,13.708
72,101,13.757
69,105,13.861
68,108,14.005
68,112,14.06
65,116,14.229
62,122,14.815
61,125,14.861
62,129,15.053
61,133,15.406
61,136,15.622
62,141,15.775
63,145,15.878
63,149,16.391
66,153,16.776
69,156,17.113
72,160,17.274
74,164,17.642
78,167,17.882
81,174,18.216
80,178,18.267
83,179,18.571
86,182,18.82
90,185,19.262
94,185,19.582
98,185,19.694
103,181,19.751
104,185,19.991
103,189,20.071
107,188,20.496
110,190,20.6
108,194,20.639
113,196,20.867
117,194,20.984
122,191,21.015
126,190,21.192
130,189,21.304
134,187,21.595
138,186,21.663
141,184,21.704
145,183,21.735
148,181,21.76
151,179,21.976
155,179,22.216
156,182,22.592
151,185,22.731
154,183,22.752
157,180,22.768
160,177,22.784
161,174,22.8
161,171,22.864
166,167,22.911
168,164,22.93
170,160,22.967
170,157,22.992
167,154,23.208
170,155,23.567
173,155,23.728
174,150,23.872
173,146,23.992
173,142,24.128
174,138,24.265
177,136,24.441
179,132,24.66
182,128,24.714
179,123,24.902
179,119,24.992
179,116,25.005
178,111,25.049
179,107,25.114
175,104,25.169
173,99,25.322
173,95,25.378
171,92,25.634
171,89,25.682
171,85,25.729
169,81,25.826
168,78,25.867
168,75,25.891
167,72,25.907
167,68,25.947
164,65,25.986
161,64,26.013
157,62,26.275
153,63,26.396
149,63,26.7
148,60,26.735
144,57,26.948
139,53,27.06
136,57,27.115
135,62,27.15
135,67,27.191
130,65,27.324
132,60,27.468
135,61,27.492
136,65,27.54
140,67,27.635
141,61,27.644
142,58,27.668
142,54,27.772
141,51,27.844
137,48,27.924
134,50,28.036
129,51,28.1
125,47,28.131
122,46,28.156
123,49,28.22
124,52,28.244
125,55,28.26
121,54,28.62
118,54,28.652
115,49,28.716
113,45,28.763
110,47,29.237
108,50,29.365
104,49,29.789
101,48,29.813
97,47,29.973
92,47,30.109
88,48,30.285
87,51,30.389
86,55,30.413
75,51,30.645
79,54,30.885
79,58,31.077
77,61,31.286
78,64,31.318
74,62,31.598
74,66,31.862
71,66,31.886
67,62,31.925
67,66,32.11
68,70,32.147
65,67,32.271
60,64,32.319
55,61,32.35
51,59,32.439
47,59,32.607
43,58,32.703
42,65,32.904
41,69,32.931
41,73,32.961
42,76,32.975
41,80,33.055
42,83,33.271
43,87,33.295
43,91,33.311
43,94,33.324
42,98,33.335
42,101,33.345
42,104,33.359
42,107,33.375
38,107,33.544
35,108,33.56
63,132,33.848
89,150,33.857
102,159,33.867
109,164,33.877
33,108,33.904
35,113,34.16
37,118,34.272
39,122,34.337
40,125,34.353
42,130,34.392
41,133,34.705
37,130,34.777
37,127,34.929
36,116,35.166
35,112,35.225
38,108,35.272
39,105,35.297
38,101,35.361
43,97,35.401
40,102,35.588
37,106,35.601
35,109,35.617
31,114,35.721
29,118,35.737
28,122,35.793
28,125,35.809
27,130,35.913
24,143,36.314
26,146,36.434
27,150,36.538
29,153,36.563
32,157,36.635
33,160,36.667
37,163,36.706
41,166,36.739
41,169,36.763
41,174,36.803
44,178,37.328
43,183,37.788
43,187,37.827
44,191,37.901
46,196,37.932
49,202,37.965
49,205,37.981
50,208,37.997
53,212,38.07
57,215,38.125
59,218,38.166
62,220,38.206
65,217,38.582
67,214,38.614
70,214,38.726
74,213,38.757
78,212,38.774
81,211,38.79
85,210,38.813
88,210,38.83
92,210,38.894
95,209,39.151
95,204,39.183
97,200,39.255
93,204,39.367
88,207,39.431
84,208,39.495
84,212,39.624
85,218,39.701
89,216,39.903
94,215,39.935
97,214,39.951
101,213,39.967
105,211,39.983
109,210,39.999
115,209,40.023
118,209,40.039
122,209,40.086
116,207,40.607
114,204,40.625
111,203,40.639
110,200,40.655
107,201,40.841
104,205,40.864
102,208,40.88
99,210,40.904
96,215,40.944
95,219,40.96
94,223,40.978
93,226,40.992
90,231,41.031
88,228,41.384
92,223,41.415
96,220,41.52
87,223,42.007
82,223,42.021
78,223,42.184
82,223,42.304
85,223,42.313
88,222,42.328
91,222,42.344
95,220,42.528
99,218,42.768
101,215,42.792
101,212,42.817
100,209,42.833
100,205,42.849
101,220,44.055
98,218,44.079
93,215,44.132
94,219,44.367
96,223,44.406
98,226,44.423
100,229,44.439
101,232,44.456
103,229,44.528
103,225,44.608
102,222,44.783
103,225,45.184
105,229,45.388
109,229,45.529
112,231,45.561
116,232,45.592
121,233,45.64
125,230,45.794
128,226,45.859
132,224,46.027
131,221,46.182
128,217,46.25
131,219,46.275
134,220,46.291
138,224,46.427
139,221,46.523
141,218,46.555
145,217,46.594
149,218,46.626
153,216,46.843
150,218,47.051
153,221,47.075
157,221,47.091
162,221,47.115
165,221,47.131
163,218,47.211
165,213,47.339
170,210,47.37
175,207,47.394
178,207,47.411
180,204,47.506
185,201,47.574
191,194,47.662
193,189,47.731
190,185,47.811
195,188,47.891
198,187,47.987
202,183,48.075
203,179,48.139
203,176,48.211
205,171,48.242
208,167,48.275
212,163,48.314
211,160,48.355
211,156,48.41
212,153,48.427
213,148,48.491
213,144,48.572
213,140,48.659
213,137,48.711
210,127,48.79
208,123,48.813
211,120,48.972
215,120,49.007
218,119,49.02
215,115,49.284
213,111,49.332
216,111,49.428
217,108,49.476
218,103,49.512
217,99,49.724
215,96,49.756
217,91,49.795
217,86,49.956
214,85,49.996
210,82,50.045
207,78,50.189
204,78,50.334
199,75,50.364
196,74,50.389
192,70,50.685
187,67,50.741
187,63,50.978
186,59,51.075
184,54,51.108
184,50,51.125
182,43,51.148
181,40,51.173
180,36,51.189
179,33,51.198
178,26,51.213
175,22,51.229
171,19,51.245
168,18,51.254
164,17,51.264
157,18,51.28
154,18,51.29
151,20,51.299
148,21,51.309
151,22,51.373
