x,y,t
111,125,0
107,121,0.302
103,122,0.326
99,124,0.435
95,128,0.494
93,133,0.598
93,136,0.622
94,139,0.646
96,143,0.718
99,148,0.827
104,151,0.878
108,151,0.956
112,152,0.982
116,152,1.045
119,152,1.091
124,150,1.126
129,147,1.224
133,144,1.269
135,141,1.31
139,137,1.358
140,134,1.382
142,131,1.408
142,115,1.551
141,112,1.561
140,108,1.583
140,105,1.599
136,101,1.669
135,98,1.676
134,95,1.683
133,92,1.711
130,91,1.753
126,89,1.805
123,88,1.823
118,86,1.878
113,85,1.937
109,84,1.975
106,84,1.992
101,82,2.025
97,83,2.063
94,81,2.089
90,83,2.128
86,84,2.191
82,87,2.195
78,89,2.225
73,92,2.257
71,95,2.281
67,98,2.323
64,100,2.333
61,102,2.353
58,108,2.401
56,115,2.459
55,120,2.473
54,124,2.504
55,130,2.536
56,133,2.583
57,139,2.591
57,144,2.624
58,147,2.649
60,154,2.719
60,157,2.732
61,160,2.77
67,173,2.888
74,179,2.897
77,181,2.905
81,184,2.936
85,187,2.969
90,189,3.02
93,190,3.042
97,190,3.073
102,189,3.105
107,189,3.151
112,189,3.185
116,188,3.218
119,186,3.234
122,186,3.28
127,184,3.289
130,183,3.306
134,183,3.337
137,182,3.354
144,179,3.417
148,177,3.434
151,176,3.459
156,173,3.506
161,170,3.548
165,167,3.578
169,162,3.61
173,158,3.672
176,154,3.677
177,151,3.691
180,147,3.723
181,144,3.747
182,141,3.763
183,135,3.806
183,132,3.811
183,129,3.827
183,126,3.843
182,121,3.874
181,118,3.891
179,112,3.938
179,109,3.95
178,106,3.965
176,101,3.998
172,91,4.1
169,86,4.118
167,82,4.155
166,79,4.187
165,76,4.236
162,71,4.267
159,66,4.322
154,63,4.372
150,59,4.42
147,58,4.444
140,55,4.495
135,53,4.532
131,52,4.564
128,51,4.588
125,50,4.657
120,49,4.662
116,48,4.683
113,48,4.7
106,46,4.757
102,46,4.78
99,45,4.796
95,46,4.828
88,48,4.889
85,49,4.894
82,50,4.908
78,51,4.924
74,53,4.94
70,54,4.973
67,56,5.015
64,58,5.022
60,62,5.053
55,66,5.086
52,67,5.102
51,70,5.11
46,73,5.147
42,75,5.19
39,78,5.214
38,81,5.23
34,85,5.281
32,88,5.296
29,93,5.33
24,105,5.435
20,113,5.454
19,116,5.459
19,120,5.478
19,124,5.494
19,127,5.51
19,131,5.526
19,137,5.571
18,143,5.59
18,146,5.606
18,149,5.622
20,154,5.653
21,159,5.702
21,162,5.709
21,165,5.718
23,171,5.749
27,176,5.782
30,180,5.828
36,186,5.837
39,188,5.846
41,191,5.862
44,193,5.878
46,196,5.894
49,199,5.91
55,205,5.96
58,207,5.982
62,210,6.031
66,213,6.091
69,214,6.107
72,216,6.127
77,219,6.166
82,222,6.226
86,224,6.239
90,225,6.27
94,227,6.302
98,227,6.358
101,228,6.363
105,228,6.391
108,228,6.407
113,228,6.439
118,227,6.484
122,226,6.502
125,225,6.519
129,224,6.571
143,218,6.687
147,216,6.735
150,215,6.761
154,213,6.815
157,212,6.839
160,211,6.855
164,209,6.886
169,207,6.943
173,204,6.966
176,202,6.991
181,199,7.023
185,195,7.069
188,191,7.086
191,189,7.115
193,186,7.127
196,181,7.158
199,177,7.199
200,174,7.207
202,171,7.223
205,166,7.254
206,163,7.271
208,156,7.33
209,153,7.343
210,150,7.359
211,147,7.375
211,144,7.391
212,140,7.407
213,132,7.465
213,128,7.472
214,125,7.487
214,122,7.503
214,119,7.519
215,114,7.551
215,109,7.6
215,104,7.616
215,101,7.632
214,96,7.667
214,93,7.68
212,88,7.725
211,85,7.73
211,82,7.745
210,78,7.763
209,75,7.811
208,72,7.817
204,62,7.92
202,57,7.937
198,53,7.961
194,49,8.001
192,46,8.018
188,41,8.06
185,38,8.097
181,33,8.137
178,29,8.188
175,25,8.217
171,22,8.259
168,19,8.312
164,16,8.358
160,15,8.444
163,17,8.619
167,17,8.627
170,17,8.635
175,17,8.643
179,18,8.651

