x,y,t
152,33,0
154,37,0.291
156,33,0.522
156,29,0.691
152,28,0.923
148,28,0.98
143,27,1.038
150,30,2.257
156,30,2.687
160,29,2.702
161,32,2.758
161,35,2.782
167,39,2.805
172,40,2.822
177,43,2.847
178,47,2.871
179,50,2.895
182,51,2.911
188,58,2.975
191,62,3.007
193,65,3.039
194,70,3.08
195,74,3.095
197,78,3.126
198,81,3.143
200,85,3.178
202,89,3.207
204,93,3.247
204,96,3.263
202,101,3.321
201,104,3.332
200,121,3.422
199,124,3.434
198,129,3.455
197,134,3.486
196,138,3.511
196,141,3.527
193,146,3.566
190,151,3.606
188,154,3.626
185,156,3.639
182,160,3.67
180,163,3.695
175,169,3.735
170,174,3.766
167,176,3.783
164,177,3.799
161,179,3.815
158,181,3.839
155,183,3.855
152,185,3.871
148,187,3.887
145,188,3.903
141,191,3.943
138,193,3.959
134,196,3.975
129,199,3.998
124,202,4.041
120,203,4.08
117,204,4.096
112,205,4.136
109,206,4.152
104,205,4.183
101,204,4.2
98,204,4.209
93,204,4.224
88,203,4.248
81,201,4.272
77,199,4.288
66,195,4.326
63,192,4.341
60,189,4.352
58,186,4.368
55,182,4.384
52,179,4.4
47,174,4.423
44,171,4.442
36,159,4.497
29,149,4.586
26,145,4.602
25,142,4.612
26,139,4.624
26,135,4.64
26,131,4.656
26,128,4.672
27,125,4.688
27,121,4.704
28,117,4.72
29,112,4.736
32,107,4.759
35,102,4.787
38,98,4.807
41,93,4.831
45,88,4.872
48,87,4.89
52,84,4.905
56,82,4.921
59,79,4.937
63,76,4.953
68,74,4.969
73,71,4.989
76,70,5.001
80,69,5.009
86,67,5.018
92,64,5.04
97,60,5.073
101,58,5.09
104,56,5.105
109,54,5.128
112,53,5.145
116,52,5.184
119,52,5.217
123,54,5.273
124,57,5.299
127,61,5.328
129,64,5.345
131,67,5.361
134,73,5.384
135,76,5.402
137,79,5.425
138,85,5.448
139,89,5.458
141,94,5.481
143,97,5.5
144,101,5.514
147,105,5.537
148,108,5.562
148,112,5.578
148,115,5.594
148,118,5.613
148,121,5.628
147,124,5.668
146,130,5.681
142,143,5.77
140,146,5.786
138,149,5.794
133,151,5.817
129,153,5.834
125,155,5.85
121,157,5.867
117,159,5.882
114,160,5.891
111,162,5.906
107,163,5.922
104,163,5.931
100,164,5.946
97,165,5.954
92,166,5.978
89,166,5.994
84,166,6.033
80,163,6.083
77,162,6.098
74,160,6.114
70,158,6.145
69,155,6.173
68,150,6.202
67,147,6.218
67,143,6.234
66,140,6.25
67,137,6.266
68,132,6.285
70,127,6.299
72,122,6.323
73,119,6.339
75,116,6.355
78,113,6.371
81,110,6.388
84,108,6.403
87,105,6.419
90,104,6.435
93,104,6.451
95,101,6.46
99,100,6.475
103,98,6.493
106,97,6.507
109,96,6.523
112,96,6.547
117,98,6.59
120,102,6.618
122,105,6.659
122,108,6.683
122,113,6.715
122,116,6.731
121,121,6.747
118,126,6.778
116,131,6.842
