x,y,t
110,116,0
111,112,0.067
106,109,0.095
101,111,0.127
98,113,0.144
93,116,0.199
92,119,0.216
90,123,0.24
89,126,0.248
88,129,0.256
86,135,0.287
87,140,0.329
88,145,0.366
93,152,0.371
95,155,0.376
99,155,0.392
103,155,0.408
107,153,0.455
116,148,0.463
120,144,0.475
124,141,0.514
130,135,0.519
142,121,0.631
146,117,0.648
147,114,0.664
147,111,0.688
147,108,0.704
145,100,0.75
144,96,0.759
141,91,0.807
137,86,0.839
127,83,0.887
124,83,0.893
120,83,0.904
117,84,0.92
112,84,0.951
97,86,1.018
94,87,1.024
90,88,1.04
84,89,1.063
81,89,1.08
76,87,1.142
72,86,1.146
68,89,1.2
66,93,1.216
65,96,1.224
60,109,1.275
58,112,1.28
56,117,1.296
54,123,1.327
54,127,1.344
53,133,1.367
53,139,1.406
54,142,1.416
56,145,1.432
60,151,1.455
63,154,1.472
67,158,1.488
70,162,1.534
77,167,1.543
81,168,1.552
85,169,1.568
90,173,1.615
93,175,1.632
101,180,1.671
105,184,1.695
109,187,1.727
113,189,1.744
118,190,1.76
129,188,1.801
132,188,1.809
135,188,1.815
138,187,1.822
141,187,1.831
144,186,1.837
147,186,1.869
154,183,1.873
166,165,1.987
170,155,1.996
171,152,2.008
173,149,2.024
174,145,2.048
174,142,2.064
175,139,2.072
175,134,2.119
177,121,2.123
177,118,2.128
177,115,2.136
178,112,2.144
178,109,2.155
178,103,2.176
179,98,2.193
179,93,2.209
179,90,2.217
179,80,2.252
179,77,2.262
178,73,2.273
174,69,2.297
171,67,2.313
168,66,2.329
159,62,2.387
155,60,2.395
150,59,2.41
146,58,2.418
143,57,2.426
140,57,2.434
137,56,2.442
134,56,2.45
130,55,2.466
126,54,2.513
118,52,2.521
115,52,2.527
111,52,2.538
108,52,2.554
104,50,2.57
100,49,2.586
97,49,2.594
94,49,2.602
91,49,2.61
84,47,2.649
81,46,2.658
78,45,2.674
74,45,2.69
69,46,2.706
64,47,2.722
59,49,2.738
53,53,2.78
50,56,2.786
48,60,2.794
46,63,2.81
43,67,2.826
41,71,2.834
37,78,2.852
35,81,2.859
32,85,2.867
30,89,2.906
22,108,2.914
22,111,2.918
21,115,2.931
22,118,2.939
23,124,2.955
26,127,2.971
29,130,2.987
32,135,3.003
35,142,3.038
35,145,3.044
36,150,3.062
36,153,3.071
36,156,3.079
37,159,3.089
38,170,3.119
39,181,3.222
51,186,3.239
54,187,3.243
57,189,3.25
60,191,3.254
63,193,3.261
67,197,3.277
71,200,3.293
74,202,3.301
79,203,3.317
92,208,3.357
95,209,3.36
98,210,3.372
101,211,3.375
106,213,3.396
109,216,3.413
112,218,3.428
116,221,3.445
128,227,3.498
134,228,3.503
137,228,3.509
142,228,3.525
148,227,3.549
152,226,3.565
156,223,3.581
168,214,3.624
172,210,3.63
177,205,3.653
181,201,3.67
185,197,3.686
189,193,3.702
190,190,3.71
201,180,3.751
205,175,3.767
209,169,3.794
211,163,3.822
211,159,3.839
212,155,3.847
214,138,3.883
214,134,3.888
215,130,3.9
215,127,3.904
215,124,3.911
216,121,3.919
216,118,3.927
216,114,3.943
215,110,3.959
215,107,3.975
214,92,4.016
214,88,4.025
214,84,4.031
214,80,4.039
214,75,4.047
214,72,4.055
214,69,4.063
213,64,4.086
212,58,4.103
207,48,4.151
203,44,4.16
200,42,4.168
197,40,4.176
193,39,4.184
188,37,4.192
185,36,4.2
180,34,4.208
176,32,4.216
171,30,4.224
168,27,4.232
165,24,4.24
159,12,4.283
157,8,4.286
155,5,4.291
152,1,4.304
147,0,4.328
