x,y,t
107,124,0
103,121,0.2
99,120,0.385
97,125,0.506
99,129,0.569
104,128,0.77
108,126,0.986
108,122,1.394
106,119,1.644
102,118,1.763
99,116,1.795
95,116,1.875
91,117,1.955
89,120,2.027
87,124,2.155
87,128,2.323
87,131,2.389
87,135,2.474
87,140,2.499
87,143,2.54
89,147,2.66
91,151,3.005
95,153,3.142
98,154,3.221
103,153,3.268
109,151,3.3
112,150,3.317
115,149,3.333
119,147,3.364
124,146,3.437
128,146,3.733
125,147,3.853
121,149,3.901
124,145,4.125
128,142,4.303
132,137,4.722
136,139,4.922
132,143,4.988
128,146,5.06
131,142,5.302
135,137,5.373
139,134,5.47
139,130,5.59
140,125,5.751
142,119,5.879
142,114,5.999
140,110,6.183
139,106,6.281
138,103,6.319
135,99,6.439
134,96,6.511
132,92,6.607
128,89,6.704
124,87,6.775
120,86,7.005
115,84,7.049
111,82,7.154
107,84,7.205
104,84,7.218
99,86,7.257
95,87,7.314
91,86,7.407
86,85,7.554
82,88,7.611
78,90,7.661
73,92,7.715
69,96,7.819
64,100,7.891
61,104,7.955
59,108,8.13
58,111,8.171
58,115,8.339
57,120,8.402
57,123,8.451
56,128,8.532
56,132,8.668
56,137,8.804
56,141,8.924
57,145,9.011
59,150,9.348
59,154,9.509
59,157,9.557
61,161,9.636
65,164,9.837
65,167,9.918
66,171,10.094
67,175,10.398
71,177,11.037
74,178,11.078
78,178,11.23
82,179,11.426
86,180,11.622
90,182,11.838
94,183,11.958
99,185,12.077
103,187,12.197
107,187,12.326
111,188,12.486
115,191,12.647
119,193,12.887
123,192,13.384
127,190,13.536
131,189,13.591
134,188,13.639
138,187,13.77
142,185,13.889
146,183,13.969
150,181,14.056
155,178,14.162
159,175,14.265
160,171,14.443
164,167,14.571
166,163,14.687
168,160,14.723
170,156,14.829
169,151,14.914
168,146,15.027
167,149,15.323
164,154,15.402
163,157,15.435
164,161,15.859
167,163,16.083
168,159,16.155
167,155,16.218
168,152,16.251
169,149,16.283
173,144,16.339
177,139,16.378
180,133,16.41
184,128,16.443
186,124,16.482
187,120,16.611
186,117,16.652
182,113,16.716
179,108,16.828
178,105,16.868
179,100,16.907
179,96,16.956
178,91,17.027
173,86,17.164
169,84,17.212
165,80,17.292
164,76,17.355
165,73,17.389
164,68,17.485
160,64,17.564
156,61,17.645
152,57,17.797
148,55,17.901
144,53,18.005
140,53,18.076
136,53,18.165
131,52,18.31
127,50,18.349
122,50,18.413
118,49,18.484
114,49,18.573
110,47,18.653
106,47,18.725
103,47,18.765
99,49,18.813
94,50,18.86
90,51,18.933
86,53,19.021
83,53,19.053
79,54,19.109
75,55,19.174
77,69,19.19
87,96,19.199
79,81,19.217
72,57,19.227
68,59,19.301
63,59,19.359
59,62,19.444
54,66,19.502
50,69,19.614
49,72,19.646
75,104,19.662
93,124,19.672
104,139,19.681
117,150,19.691
131,165,19.704
138,173,19.713
131,167,19.745
102,136,19.755
46,76,19.765
45,79,19.79
42,83,19.934
38,87,20.014
34,91,20.086
33,95,20.183
32,98,20.223
32,101,20.252
31,105,20.287
31,108,20.312
30,113,20.368
29,117,20.431
28,121,20.501
24,124,20.616
23,119,20.699
24,116,20.712
25,113,20.721
26,110,20.736
29,106,20.752
31,102,20.768
33,99,20.788
35,95,20.904
30,96,20.993
25,99,21.048
23,103,21.065
20,108,21.081
19,111,21.094
16,116,21.106
14,120,21.129
14,123,21.137
15,128,21.16
15,131,21.177
16,134,21.198
15,139,21.216
15,143,21.233
16,148,21.256
18,152,21.288
19,155,21.321
22,159,21.723
23,163,21.745
24,166,21.769
24,169,21.801
28,173,21.897
31,177,22.034
35,180,22.113
39,183,22.243
43,187,22.412
47,189,22.516
51,192,22.613
55,195,22.66
59,197,22.772
55,197,23.116
52,195,23.141
48,193,23.18
43,189,23.212
40,186,23.277
43,190,23.397
46,193,23.461
50,196,23.56
51,201,23.718
53,206,23.873
58,212,23.991
60,215,24.032
63,219,24.104
67,222,24.232
71,223,24.409
76,224,24.464
80,224,24.521
84,223,24.56
87,221,24.585
90,220,24.601
93,219,24.617
96,218,24.633
100,219,24.672
103,220,24.708
107,221,24.768
111,223,24.857
114,225,25.044
119,226,25.13
123,226,25.233
126,226,25.257
130,226,25.522
134,225,25.569
139,224,25.698
143,223,25.802
147,224,25.906
151,223,26.025
155,223,26.114
159,222,26.186
163,220,26.27
166,219,26.284
171,217,26.322
175,213,26.387
178,212,26.411
182,210,26.45
186,206,26.604
188,202,26.732
193,198,26.828
196,194,26.907
200,190,26.98
202,186,27.067
203,182,27.156
204,177,27.227
207,173,27.267
210,171,27.294
213,163,27.412
214,160,27.426
214,156,27.459
214,151,27.512
214,147,27.555
215,142,27.613
215,137,27.659
216,133,27.699
217,130,27.718
219,126,27.771
222,122,27.845
223,118,27.917
221,114,28.077
220,109,28.221
216,105,28.292
214,102,28.32
210,98,28.372
207,91,28.461
205,84,28.546
204,81,28.565
202,76,28.62
200,72,28.684
199,69,28.733
199,66,28.765
197,62,28.813
194,57,28.892
190,54,28.981
185,53,29.05
181,48,29.085
177,44,29.133
174,42,29.158
170,39,29.197
165,37,29.229
161,36,29.262
157,35,29.293
154,35,29.31
150,34,29.341
145,33,29.381
142,32,29.406
