x,y,t
163,18,0
167,20,0.208
171,22,0.536
175,24,0.744
179,26,0.872
183,29,1.04
186,34,1.344
190,38,1.56
192,42,1.731
195,47,2.016
199,50,2.232
202,54,2.393
203,57,2.529
205,61,2.713
208,65,2.969
211,69,3.082
214,73,3.299
216,77,3.46
216,80,3.524
217,84,3.692
217,87,3.764
218,91,3.916
218,95,4.2
219,99,4.364
220,103,4.493
220,107,4.7
220,111,4.947
221,115,5.068
221,119,5.238
221,123,5.337
220,127,5.628
220,132,5.797
220,136,5.973
220,140,6.109
219,144,6.258
218,148,6.382
216,153,6.549
215,157,6.741
213,161,6.949
211,166,7.15
208,170,7.334
207,173,7.423
204,177,7.535
200,181,7.712
197,185,7.888
193,189,8
190,192,8.193
187,194,8.346
183,198,8.636
180,200,8.804
176,203,9.069
172,205,9.319
168,207,9.576
164,210,9.888
160,211,10.168
156,213,10.632
152,214,10.968
148,214,11.064
144,215,11.434
140,215,11.626
136,214,11.85
132,215,12.018
128,216,12.163
123,216,12.415
119,216,12.571
115,217,12.675
111,217,12.763
107,217,12.907
103,217,13.259
99,216,13.387
96,216,13.467
91,215,13.563
87,215,13.659
83,215,13.788
79,216,13.972
75,215,14.1
71,213,14.272
67,211,14.388
63,207,14.555
59,204,14.653
55,202,14.83
51,200,14.966
47,197,15.166
44,195,15.262
41,190,15.478
37,188,15.662
34,183,15.831
31,180,16.312
27,177,16.592
26,173,16.968
26,169,17.128
23,164,17.36
22,160,17.571
21,156,17.751
20,152,17.882
19,148,18.076
18,144,18.228
18,141,18.316
18,137,18.444
18,133,18.524
18,129,18.662
18,125,18.908
18,122,18.996
17,118,19.148
17,114,19.288
17,110,19.413
17,107,19.477
17,103,19.654
20,97,19.912
21,93,20.014
22,90,20.15
23,86,20.417
26,81,20.55
29,77,20.71
32,72,20.798
35,68,21.033
39,66,21.182
43,63,21.422
47,59,21.59
51,58,21.759
54,56,21.799
58,55,22.015
62,53,22.255
66,50,22.472
70,50,22.581
73,49,22.657
77,47,22.793
82,47,22.889
86,46,23.06
90,46,23.307
94,46,23.481
98,46,23.625
102,45,23.777
107,46,23.881
111,46,24.009
115,47,24.097
119,48,24.185
123,50,24.317
127,51,24.457
131,52,24.615
136,54,24.729
140,55,24.817
144,56,24.929
148,57,25.074
152,58,25.162
156,60,25.274
160,63,25.37
163,67,25.491
164,72,25.585
167,76,25.699
170,80,25.859
174,83,26.051
176,88,26.163
175,92,26.347
176,96,26.467
178,99,26.555
181,102,26.725
182,105,26.739
183,109,26.824
184,113,26.947
183,117,27.043
182,120,27.131
181,123,27.187
179,127,27.348
178,132,27.468
177,136,27.633
177,139,27.701
175,143,27.852
175,146,27.866
173,150,27.973
171,155,28.085
167,159,28.189
163,164,28.381
159,168,28.582
155,171,28.742
151,174,28.872
147,177,29.022
143,178,29.127
139,179,29.223
135,181,29.287
131,181,29.415
127,181,29.575
123,182,29.768
119,182,29.984
115,181,30.16
112,181,30.208
108,180,30.4
104,180,30.553
100,179,30.681
96,179,30.769
91,179,30.849
87,176,30.977
83,175,31.058
79,174,31.172
75,171,31.283
71,168,31.419
67,164,31.588
63,160,31.78
59,157,32.045
57,154,32.141
56,150,32.237
53,146,32.383
51,141,32.525
51,137,32.605
50,133,32.717
50,129,32.813
51,125,32.949
51,122,32.99
53,118,33.077
54,113,33.174
57,108,33.294
59,103,33.436
62,99,33.527
64,94,33.573
68,91,33.798
72,88,33.902
77,85,33.982
82,82,34.014
86,80,34.102
91,78,34.134
95,78,34.206
99,77,34.27
102,77,34.31
106,78,34.407
109,78,34.434
113,78,34.574
117,79,34.697
121,81,34.744
124,82,34.808
128,85,34.912
132,90,35.064
136,93,35.208
140,97,35.352
143,102,35.473
145,105,35.521
147,109,35.649
151,113,35.809
151,117,35.913
151,120,35.969
150,124,36.041
148,127,36.138
146,132,36.258
144,136,36.391
140,141,36.483
136,143,36.603
132,145,36.691
128,147,36.81
124,149,36.923
120,149,37.076
116,149,37.253
111,148,37.453
107,146,37.557
103,143,37.693
99,141,37.821
95,138,37.925
91,132,38.068
91,128,38.125
92,125,38.157
93,121,38.245
96,116,38.374
100,115,38.474
103,114,38.501
107,115,38.581
110,119,38.685
126,241,42.182
134,237,44.336
136,234,44.345
137,231,44.354
129,237,45.977
