x,y,t
97,136,0
99,140,0.064
103,143,0.152
106,145,0.178
110,148,0.224
114,148,0.288
118,145,0.368
122,143,0.456
124,139,0.504
124,135,0.567
124,131,0.587
123,126,0.607
122,123,0.624
122,120,0.64
120,117,0.664
117,113,0.696
115,110,0.712
111,107,0.743
108,104,0.768
103,102,0.816
99,101,0.864
95,101,0.906
92,102,0.92
87,104,0.959
81,111,1.03
75,124,1.118
75,129,1.176
75,134,1.207
76,138,1.224
76,141,1.24
77,145,1.249
78,148,1.264
82,152,1.295
84,155,1.312
88,160,1.344
89,163,1.36
92,167,1.427
96,167,1.464
101,170,1.495
106,173,1.537
110,175,1.561
114,176,1.577
118,177,1.593
122,177,1.629
127,175,1.665
132,172,1.704
136,170,1.737
141,167,1.776
145,164,1.824
148,161,1.849
148,158,1.874
148,154,1.89
148,151,1.899
148,146,1.914
148,141,1.939
149,136,2.017
147,129,2.05
145,125,2.075
144,120,2.091
143,117,2.115
142,114,2.144
140,108,2.192
136,95,2.27
135,92,2.294
135,88,2.303
134,85,2.315
132,82,2.339
128,78,2.379
125,76,2.395
120,75,2.426
117,75,2.443
113,75,2.459
109,75,2.479
106,75,2.49
102,75,2.499
99,75,2.509
94,75,2.523
89,76,2.539
84,76,2.555
79,78,2.58
74,80,2.619
72,84,2.644
68,89,2.667
66,92,2.68
62,95,2.692
57,99,2.715
54,101,2.732
50,104,2.755
47,107,2.783
45,111,2.796
44,114,2.812
42,117,2.836
41,121,2.852
40,125,2.868
39,129,2.884
37,135,2.91
37,139,2.932
37,142,2.949
37,145,2.965
37,148,2.985
38,151,2.997
39,154,3.013
40,158,3.022
42,161,3.037
43,164,3.046
46,167,3.061
50,171,3.077
53,175,3.093
55,178,3.102
56,181,3.111
58,184,3.121
61,187,3.133
64,189,3.149
70,189,3.172
73,188,3.181
76,188,3.194
83,188,3.205
87,189,3.214
91,191,3.223
95,192,3.232
99,193,3.242
103,195,3.251
106,197,3.261
109,199,3.269
115,203,3.277
118,205,3.287
123,207,3.306
126,208,3.321
130,207,3.335
135,204,3.372
150,190,3.46
153,186,3.476
156,184,3.485
160,181,3.494
164,178,3.509
167,174,3.525
169,170,3.541
172,167,3.557
174,163,3.573
176,158,3.604
176,155,3.613
176,151,3.629
176,147,3.645
177,143,3.661
179,139,3.677
180,134,3.693
181,130,3.709
182,125,3.725
183,120,3.741
184,116,3.75
184,111,3.821
179,105,3.852
178,102,3.877
177,99,3.886
177,96,3.901
175,92,3.917
174,88,3.933
173,84,3.942
171,80,3.957
169,76,3.973
166,72,3.989
162,70,4.005
156,65,4.028
151,62,4.045
146,58,4.061
141,55,4.077
137,51,4.093
132,47,4.109
127,44,4.125
123,41,4.141
120,40,4.157
117,39,4.176
113,39,4.189
108,40,4.205
103,40,4.221
100,40,4.229
97,41,4.238
92,41,4.253
89,42,4.261
84,44,4.285
81,45,4.301
76,46,4.349
72,47,4.365
68,50,4.381
63,53,4.397
60,56,4.406
58,60,4.415
48,71,4.447
45,72,4.457
42,73,4.469
34,73,4.524
28,75,4.614
25,76,4.629
21,79,4.645
17,81,4.684
